"filename", "language", "CMake", "Gradle", "Java Properties", "C++", "Markdown", "YAML", "JSON", "JavaScript", "HTML", "XML", "MS SQL", "Swift", "Dart", "comment", "blank", "total"
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\migrations\complete_database_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 84, 24, 191
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\migrations\migration_soft_delete.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 31, 20, 104
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\migrations\remove_price_duplication.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 44, 27, 189
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\migrations\update_existing_database.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 86, 39, 276
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 2215, 0, 0, 0, 0, 0, 0, 0, 1, 2216
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\package.json", "JSON", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\pedidos.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1174, 0, 0, 0, 0, 0, 95, 165, 1434
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\servidor.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1593, 0, 0, 0, 0, 0, 115, 226, 1934
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\user.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 13, 58
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 15, 5, 39
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\CMakeLists.txt", "CMake", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\flutter\CMakeLists.txt", "CMake", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\flutter\generated_plugins.cmake", "CMake", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\CMakeLists.txt", "CMake", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\utils.cpp", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 470, 69, 8, 571, 4536, 72, 4376, 3899, 19, 524, 405, 75, 31331, 2848, 5619, 54822
