"filename", "language", "HTML", "C++", "JSON", "Swift", "XML", "JavaScript", "YAML", "Dart", "Markdown", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\package-lock.json", "JSON", 0, 0, 1984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1985
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\package.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 6, 68
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\db.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\login_register.js", "JavaScript", 0, 0, 0, 0, 0, 380, 0, 0, 0, 0, 0, 53, 82, 515
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\menu.js", "JavaScript", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 9, 20, 128
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\pedidos.js", "JavaScript", 0, 0, 0, 0, 0, 400, 0, 0, 0, 0, 0, 37, 73, 510
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\servidor.js", "JavaScript", 0, 0, 0, 0, 0, 623, 0, 0, 0, 0, 0, 112, 136, 871
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\sevidor\user.js", "JavaScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 4, 13, 62
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\web\index.html", "HTML", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 19, 557, 2123, 67, 519, 1559, 63, 20427, 75, 69, 8, 1816, 2753, 30055
